,EN,FR,DE,ES,IT,PO,SC,JP,TC,RU
STRID_PStoreErr,PStore Error,PStore Error,PStore Error,PStore Error,PStore Error,PStore Error,PStore Error,Pストアエラー,PStore Error,Ошибка Pcstore
STRID_Play,Play,Jeu.,Spiel,Juego,Gioco,Play,播放,放送する,播放,Воспроизвести
STRID_PAUSE,Pause,Palse,Pause,Palse,Pausa,Pause,暫停,休止,暫停,Пауза
STRID_Stop,Stop,Arrêt,Stopp,Stop,Stop,Stop,停止,止める,停止,Стоп
STRID_Move,Move,Move,Move,Mover,Sposta,Move,移动,移動,移動,Двигать
STRID_Save,Save,Éccnow,Auber,Except,Rispar,Save,保存,保存,保存,Сохранить
STRID_Next,Next,Aprés,Zunächst,Después,Dopo,Next,下一項,次に,下一項,Следующий
STRID_Change,Change,Changement,Änderung,Cambio,Cambiamento,Change,更改,变更,更改,Изменить
STRID_VOLUME,Volume,Volume,Lautstärke,Volumen,Volume,Volume,音量设置,音量,音量設置,Громкость
STRID_STILL,Still,fixe,Standbild,inmóvil,Immagine fissa,fixa,拍照,写真を撮る,拍照,Фотографировать
STRID_BATTERY_TYPE,Battery Type,Battery Type,Battery Type,Battery Type,Battery Type,Battery Type,Battery Type,バッテリーのタイプ,Battery Type,Тип батареи
STRID_ALKALINE,Alkaline,Alkaline,Alkaline,Alkaline,Alkaline,Alkaline,Alkaline,アルカリ,Alkaline,Alkaline
STRID_NIMH,NiMH,NiMH,NiMH,NiMH,NiMH,NiMH,NiMH,NiMH,NiMH,NiMH
STRID_DELETE_WARNING,All data will be deleted,Format memoire\nefface toutes\ndonnees,Speicher formatieren\nAlle Daten löschen,Formatear memoria\nSe borrarán todos los datos,Formattazione mem.\ntutti i dati verranno cancellati,Format memória\ndados perdidos!,格式化后存储卡\n将丢失所有数据,メモリーをフォーマ\nすべてのデ\nータが失われます,格式化後記憶卡\n將删除所有資料,Все данные будут удалены
STRID_SEQUENCE_NO,Sequence No.,Sequence No,Fortlaufende Numerierung,Num. Secuencia,Sequenza n.,Sequência nº,档案编号,ファイルの番号 ,檔案編號,Номер серии
STRID_RESET_WARNING,Return camera settings\nto defaults,Retour reglages\npar defaut,Auf Standardeinstellungen\nzurücksetzen,Reconfigurar el menú\npor defecto,Torna alle impostazioni\ndi menu predefinite,Menu por defin,恢复出厂设置及子菜单,メニュー設定を\nデフォルトに戻す,恢復出廠設置及子菜單,Сброс на заводские установки 
STRID_ERASE_THIS,Erase This?,Effacer Ceci,Dieses löschen?,Borrar Ésta,Cancella questa,Apagar esta,刪除单张,一枚の画像を削除する,删除單張,Удалить выбранный ?
STRID_ERASE_ALL,Erase All Images?,Efface nefface Images?,Dieses Alle Bilder?,Borrar ndados imágenes?,Cancella Tutte immagini?,Apagar ndados imagens?,刪除所有?,全ての画像を削除する,删除全部?,Удалить все изображения ?
STRID_IMAGES,Images,Images,Bilder,imágenes,immagini,imagens,张,画像,張,Изображение
STRID_CONNECT_TO_DEVICE,Please connect to device,Connecter appareil,Bitte an Gerät\nanschliessen,"Por favor, conectar\nal dispositivo",Colleg. alla per.,Ligue aparelho,请连接设备,デバイスを接続してください,請連接裝置,Подключите устройство
STRID_DEVICE_IS_CONNECTED,Device is connected,Appareil connecte,Gerät ist\nangeschlossen,Dispositivo\nconectado,Periferica coll.,Aparelho ligado,设备已连接,デバイスが接続されました,裝置已連接,Подключено
STRID_LINK_ERROR,Link Error,Erreur de lien,Link-Fehler,Error de vínculo,Errore link,Erro na ligação,连机错误,リンクエラー,連接錯誤,Ошибка соединения
STRID_USB_ERROR,USB Error,Erreur USB,USB-Fehler,Error USB.,Errore USB,Erro USB,USB 错误,USBエラー,USB 錯誤,Ошибка USB 
STRID_DUMMY,X\\,a\\,a\\,a\\,a\\,X\\,a\\,a\\,a\\,a\\
STRID_EV_M0P3,-1/3,-1/3,-1/3,-1/3,-1/3,-1/3,-1/3,-1/3,-1/3,-1/3
STRID_EV_M0P6,-2/3,-2/3,-2/3,-2/3,-2/3,-2/3,-2/3,-2/3,-2/3,-2/3
STRID_EV_M1P0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
STRID_EV_M1P3,-4/3,-4/3,-4/3,-4/3,-4/3,-4/3,-4/3,-4/3,-4/3,-4/3
STRID_EV_M1P6,-5/3,-5/3,-5/3,-5/3,-5/3,-5/3,-5/3,-5/3,-5/3,-5/3
STRID_EV_M2P0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0
STRID_EV_P0P0,+0.0,+0.0,+0.0,+0.0,+0.0,+0.0,+0.0,+0.0,+0.0,+0.0
STRID_EV_P0P3,+1/3,+1/3,+1/3,+1/3,+1/3,+1/3,+1/3,+1/3,+1/3,+1/3
STRID_EV_P0P6,+2/3,+2/3,+2/3,+2/3,+2/3,+2/3,+2/3,+2/3,+2/3,+2/3
STRID_EV_P1P0,+1.0,+1.0,+1.0,+1.0,+1.0,+1.0,+1.0,+1.0,+1.0,+1.0
STRID_EV_P1P3,+4/3,+4/3,+4/3,+4/3,+4/3,+4/3,+4/3,+4/3,+4/3,+4/3
STRID_EV_P1P6,+5/3,+5/3,+5/3,+5/3,+5/3,+5/3,+5/3,+5/3,+5/3,+5/3
STRID_EV_P2P0,+2.0,+2.0,+2.0,+2.0,+2.0,+2.0,+2.0,+2.0,2,2
STRID_PRINT_ALL,Print All,TOUTES LES PHOTOS,ALLE BILDER,TODAS LAS FOTOS,TUTTE LE FOTO,WSZYSTKIE ZDJĘCIA,打印全部照片,すべての写真を印刷する,列印所有照片,Печатать все
STRID_PRINT_INDEX,Print Index,Tout Index,Alle Index,Todo el índice,Tutta la selezione,Todo índice,索引,インデックス,索引,Печатать индексы
STRID_PRINT_DPOF,Print DPOF,Imprimer avec DPOF,DPOF-Druck,Impr. con DPOF,Stampa con DPOF,Print With DPOF,采用DPOF打印,DPOFで印刷する,DPOF 列印,DPOF  печать
STRID_PRINT_SETTING,Print Setting,Réglage de Imprimez,Drucken Einstellungen,Ajustes el impresión,Impostazioni del impronta,Definições do imprimir,打印设定,印刷を設定する,列印設定,Настройка печати
STRID_DPOF_RESTART,DPOF Restart,DPOF Restart,DPOF Redémarrez,Reinicie DPOF,DPOF Riavviare,DPOF Restart,DPOF重新开始,DPOFを再起動します,DPOF重新開始,перезапуск DPOF 
STRID_PRINT,Print,Imprimer,Drucken,Imprimir,Stampa,Print,打印,プリント,列印,Печать
STRID_START_PRINTING,Start Printing,Commencez Á Imprimer,Druck,Comience A Imprimir,Inizi A Stampare,Iniciar Impressão,开始打印,プリントが始まる,開始列印,Начало печати
STRID_PRINTING,Printing..,Impression..,Drucken..,Imprimiendo..,Stampa..,Imprensa..,打印中..,印刷中..,正在列印..,Идет печать…
STRID_PRINT_CANCELED,Print Canceled,Print Canceled,Ausdruck Abgebrochen,Impresión cancelada,Print canceled,Imprimir Cancelado,打印停止,プリントが止まる,打印停止,Печать отменена
STRID_PRINT_FINISHED,Print Finished,Imprime Termine,Drucken Abgeschlossen,Impresión Terminada,Stampa terminata,Impressão Terminada,打印完成,プリントが完了しました,列印結束,Печать закончена
STRID_OK_TO_PRINT,Press OK to Print,Appuyer OK pour imprimer,Drucken OK Drücken,Pulse OK para imprimir,Premi OK per stamp.,OK p/ imprimir,按确认键开始打印,OKを押してプリントが始まる,按確認鍵開始列印,Для печати нажмите ОК
STRID_PAPER_SIZE,Paper Size,Format Papier,Papier Format,Tamaño Del Papel,Formato Carta,Tamanho do papel,纸张大小,用紙のサイズ,紙張大小,Размер бумаги
STRID_L,L,L,L,L,L,L,L,L,L,L
STRID_2L,2L,2L,2L,2L,2L,2L,2L,2L,2L,2L
STRID_POSTCARD,Postcard ,Carte postale,Postkarte ,Postal,Cartolina ,Postal,明信片,ポストカード,明信片,Открытка
STRID_CARD,Card,Carte,Karte,Tarjeta,Scheda,Cartão,存储卡,メモリーカード,卡片,Карта памяти 
STRID_100x150,100x150,100x150,100x150,100x150,100x150,100x150,100x150,100x150,100x150,100x150
STRID_4x6,"4""x6""","4""x6""","4""x6""","4""x6""","4""x6""","4""x6""","4""x6""","4""x6""","4""x6""","4""x6"""
STRID_8x10,"8""x10""","8""x10""","8""x10""","8""x10""","8""x10""","8""x10""","8""x10""","8""x10""","8""x10""","8""x10"""
STRID_LETTER,Letter,Lettre ,Letter ,Carta,Lettera ,Carta,信封,Letter ,信封,Письмо
STRID_11x17,"11""x17""","11""x17""","11""x17""","11""x17""","11""x17""","11""x17""","11""x17""","11""x17""","11""x17""","11""x17"""
STRID_A0,A0,A0,A0,A0,A0,A0,A0,A0,A0,A0
STRID_A1,A1,A1,A1,A1,A1,A1,A1,A1,A1,A1
STRID_A2,A2,A2,A2,A2,A2,A2,A2,A2,A2,A2
STRID_A3,A3,A3,A3,A3,A3,A3,A3,A3,A3,A3
STRID_A4,A4,A4,A4,A4,A4,A4,A4,A4,A4,A4
STRID_A5,A5,A5,A5,A5,A5,A5,A5,A5,A5,A5
STRID_A6,A6,A6,A6,A6,A6,A6,A6,A6,A6,A6
STRID_A7,A7,A7,A7,A7,A7,A7,A7,A7,A7,A7
STRID_A8,A8,A8,A8,A8,A8,A8,A8,A8,A8,A8
STRID_A9,A9,A9,A9,A9,A9,A9,A9,A9,A9,A9
STRID_B0,B0,B0,B0,B0,B0,B0,B0,B0,B0,B0
STRID_B1,B1,B1,B1,B1,B1,B1,B1,B1,B1,B1
STRID_B2,B2,B2,B2,B2,B2,B2,B2,B2,B2,B2
STRID_B3,B3,B3,B3,B3,B3,B3,B3,B3,B3,B3
STRID_B4,B4,B4,B4,B4,B4,B4,B4,B4,B4,B4
STRID_B5,B5,B5,B5,B5,B5,B5,B5,B5,B5,B5
STRID_B6,B6,B6,B6,B6,B6,B6,B6,B6,B6,B6
STRID_B7,B7,B7,B7,B7,B7,B7,B7,B7,B7,B7
STRID_B8,B8,B8,B8,B8,B8,B8,B8,B8,B8,B8
STRID_B9,B9,B9,B9,B9,B9,B9,B9,B9,B9,B9
STRID_L_ROLLS,L Rolls,Rouleau L,L rolls,Rollo L,Rullo L,L Rolls,L尺寸卷筒紙,L 尺寸捲筒紙,L 尺寸捲筒紙,Крен L
STRID_2L_ROLLS,2L Rolls,Rouleau 2L,2L rolls,Rollo 2L,Rullo 2L,2L Rolls,2L卷筒紙,2L 捲筒紙,2L 捲筒紙,Крен 2L
STRID_4_ROLLS,"4"" Rolls",Roul.10x15,"4"" rolls",Rollo 4L,"Rullo 4""","4"" Rolls",4英寸卷筒紙,4 英吋捲筒紙,4 英吋捲筒紙,Крен 4
STRID_A4_ROLLS,A4 Rolls,Rouleau A4,A4 rolls,Rollo A4,Rullo A4,A4 Rolls,A4卷筒紙,A4 捲筒紙,A4 捲筒紙,Крен A4
STRID_PAPER_TYPE,Paper Type,Type De Papier,Papier Sorte,Tipo De Papel,Tipo Di Carta,Paper Type,纸张类型,用紙のタイプ,紙張類型,Тип бумаги
STRID_PHOTO_PAPER,Photo,Photo,Photo,Photo,Photo,Photo,照片纸,写真の用紙,相片紙,Фотобумага
STRID_PLAIN_PAPER,Plain,Plain,Plain,Plain,Plain,Plain,普通纸,普通の用紙,普通紙,Обычная бумага
STRID_FAST_PHOTO,Fast Photo,Fast Photo,Fast Photo,Fast Photo,Fast Photo,Fast Photo,快速相片纸,スピード写真,快速相片紙,Быстрое фото
STRID_FILE_TYPE,File Type,Type De Dossier,Akte Art,Tipo De Archivo,Tipo Dalla Lima,File Type,回放列表,再生リスト,回放列表,Тип файла
STRID_EXIF_JPEG,Exif/JPEG,Exif/JPEG,Exif/JPEG,Exif/JPEG,Exif/JPEG,Exif/JPEG,Exif/JPEG,Exif/JPEG,Exif/JPEG,Exif/JPEG
STRID_EXIF,Exif,Exif,Exif,Exif,Exif,Exif,Exif,Exif,Exif,Exif
STRID_JPEG,JPEG,JPEG,JPEG,JPEG,JPEG,JPEG,JPEG,JPEG,JPEG,JPEG
STRID_DATE_PRINT,Date Print,Impression De La Date,Druck Des Datums,Impresión De La Fecha,Stampa Della Data,Data de impressão,打印日期,印刷の日付,列印日期,Печатать дату
STRID_FILENAME_PRINT,Filename Print,Impression De La Nom,Druck Des Dateinamens,Impresión De La Nombre,Stampa Della Nome,Filename Print,打印文件名,ファイル名を印刷する,列印檔名,Печатать наименование файла
STRID_IMAGE_OPTIMIZE,Image Optimize,L'Image Optimisent,Bild Optimieren,La Imagen Optimiza,L'Immagine Ottimizza,Image Optimize,图像最佳化,画像の最適化,圖像最佳化,Оптимизировать изображение
STRID_LAYOUT,N-UP Layout,N-UP Layout,N-UP Layout,N-diseño superior,N-up layout,Disposição n-up,打印版面,N-UPレイアウトを印刷する,佈局,Разметка страниц
STRID_1UP,1-UP,1-UP,1-UP,1-UP,1-UP,1-UP,1-UP,1-UP,1-UP,STRID_1UP
STRID_2UP,2-UP,2-UP,2-UP,2-UP,2-UP,2-UP,2-UP,2-UP,2-UP,STRID_2UP
STRID_3UP,3-UP,3-UP,3-UP,3-UP,3-UP,3-UP,3-UP,3-UP,3-UP,STRID_3UP
STRID_4UP,4-UP,4-UP,4-UP,4-UP,4-UP,4-UP,4-UP,4-UP,4-UP,STRID_4UP
STRID_5UP,5-UP,5-UP,5-UP,5-UP,5-UP,5-UP,5-UP,5-UP,5-UP,STRID_5UP
STRID_6UP,6-UP,6-UP,6-UP,6-UP,6-UP,6-UP,6-UP,6-UP,6-UP,STRID_6UP
STRID_7UP,7-UP,7-UP,7-UP,7-UP,7-UP,7-UP,7-UP,7-UP,7-UP,STRID_7UP
STRID_8UP,8-UP,8-UP,8-UP,8-UP,8-UP,8-UP,8-UP,8-UP,8-UP,STRID_8UP
STRID_9UP,9-UP,9-UP,9-UP,9-UP,9-UP,9-UP,9-UP,9-UP,9-UP,STRID_9UP
STRID_10UP,10-UP,10-UP,10-UP,10-UP,10-UP,10-UP,10-UP,10-UP,10-UP,STRID_10UP
STRID_250UP,250-UP,250-UP,250-UP,250-UP,250-UP,250-UP,250-UP,250-UP,250-UP,STRID_250UP
STRID_INDEX,Index,Index,Index,índice,selezione,índice,索引,インデックス,索引,Индек
STRID_1UP_BORDERLESS,Borderless,Borderless,Borderless,Randlos,Borderless,obramowania,满版列印,フルバージョンを印刷する,滿版列印,Без полей
STRID_FIXED_SIZE,Fixed Size,Taille Fixe,Fixed Size,Tamaño Fijo,Formato Fisso,Fixed Size,固定大小,固定のサイズ,固定大小,Установленный размер
STRID_25x325,"2.5""x3.25""","2.5""x3.25""","2.5""x3.25""","2.5""x3.25""","2.5""x3.25""","2.5""x3.25""","2.5""x3.25""","2.5""x3.25""","2.5""x3.25""","2.5""x3.25"""
STRID_35x5,"3.5""x5""","3.5""x5""","3.5""x5""","3.5""x5""","3.5""x5""","3.5""x5""","3.5""x5""","3.5""x5""","3.5""x5""","3.5""x5"""
STRID_254x178,254x178,254x178,254x178,254x178,254x178,254x178,254x178,254x178,254x178,254x178
STRID_110x74,110x74,110x74,110x74,110x74,110x74,110x74,110x74,110x74,110x74,110x74
STRID_89x55,89x55,89x55,89x55,89x55,89x55,89x55,89x55,89x55,89x55,89x55
STRID_6x8,6x8,6x8,6x8,6x8,6x8,6x8,6x8,6x8,6x8,6x8
STRID_7x10,7x10,7x10,7x10,7x10,7x10,7x10,7x10,7x10,7x10,7x10
STRID_9x13,9x13,9x13,9x13,9x13,9x13,9x13,9x13,9x13,9x13,9x13
STRID_13x18,13x18,13x18,13x18,13x18,13x18,13x18,13x18,13x18,13x18,13x18
STRID_15x21,15x21,15x21,15x21,15x21,15x21,15x21,15x21,15x21,15x21,15x21
STRID_18x24,18x24,18x24,18x24,18x24,18x24,18x24,18x24,18x24,18x24,18x24
STRID_CROPPING,Cropping,Emblavage,Saatbestellung,Cultivo,Coltivazione,Recorte,剪切,作付,剪切,Вырезать
STRID_PRINT_ERROR,Print Error,Erreur impression,Druck fehler,Error de impresión,Stampa errore,Print Error,打印错误,印刷エラー,列印錯誤,Ошибка печати
STRID_PRINTER_DISCONNECTABLE,Printer can be Disconnected.,Printer can be Disconnected.,Imprimante peut être débranché.,La impresora se puede desconectar.,Stampante può essere disconnesso.,Impressora pode ser desligado,打印机连结可移除,プリンタを切断することができます,印表機連結可移除,Принтер может быть отключен
STRID_PAPER_ERROR,Paper Error,Probleme De Papier,Papierfehler,Error De Papel,Errore Carta,Erro De Papel,纸张错误,ペーパーエラー,紙張錯誤,Ошибка бумаги
STRID_PAPER_OUT,Paper is Empty,Impression Annulee,Papierfach ist leer,Papel Vacío,Stampa annullata,Impressão cancelada,纸张耗尽,用紙が空です,無紙張,Бумага закончилась 
STRID_PAPER_LOAD_ERROR,Paper is not Loaded,Il n'y a plus de papier,Kein papier eingelegt,No se ha cargado papel,Mancanza carta,Sem papel,纸张未加载,用紙がセットさ   れていません,紙張未裝載,Бумага не загружена
STRID_PAPER_EJECT_ERROR,Paper is not Ejected,Probleme De Papier,Papierfehler,Error De Papel,Errore Carta,Erro De Papel,纸张未弹出,ペーパーエラー,紙張未彈出,Бумана не выпущена
STRID_PAPER_MEDIA_ERROR,Paper is not Detected,Probleme De Papier,Papierfehler,Error De Papel,Errore Carta,Erro De Papel,纸张未侦测,ペーパーエラー,紙張未偵測,Бумага не распознана
STRID_PAPER_JAMMED,Paper is Jammed,Erreur de support,Papierstau,Papel atascado,Errore supporto,Erro no suporte de dados,纸张堵塞, 用紙詰まりです,夾紙,Зажатие бумаги
STRID_PAPER_NEAR_EMPTY,Paper is Nearly Empty,Bourrage du papier,Papierfach ist fast leer,Poco papel,Carta inceppata,Papel encravado,纸张将要耗尽,用紙がほと    んど空です,紙張將要耗盡,Бумага заканчивается
STRID_PAPER_NOT_SUPPORT,Paper Type is not Supported,Il n'y a presque plus de papier,Papiersorte nicht unterstützt,Tipo de papel no compatible,Carta in fase di esaurimento,Quase sem papel,纸张规格不支持,サポートされてい  ない用紙タイプ,紙張規格不支持,Формат бумаги не поддерживается
STRID_INK_ERROR,Ink Error,Probleme D'encre,Tintenfehler,Error De Tinta,Errore Inchiostro,Erro De Tinteiro,墨水错误,印刷エラー,墨水错误,Ошибка краски 
STRID_INK_EMPTY,Ink is Empty,Ce type de papier ne convient pas,Tinte ist leer,Tinta vacía,Tipo di carta non supportato,Tipo de papel não suportado,墨水耗尽, インクが空です,無墨水,Краска закончилась
STRID_INK_LOW,Ink is Low,Il n'y a plus d'encre,Tinte ist fast leer,Poca tinta,Mancanza inchiostro,Tinteiro vazio,墨水将要耗尽,インクが少なく   なっています,墨水將要耗盡,Краска заканчивается
STRID_INK_WASTE,Waste Ink Reservoir Full,Probleme D'encre,Tintenfehler,Error De Tinta,Errore Inchiostro,Erro De Tinteiro,墨水错误,インク消耗エラー,墨水錯誤,Ошибка краски 
STRID_HW_ERROR,Hardware Error,Erreur matérielle d'imprimante,Hardware-Fehler des Druckers,Error en hardware de la impresora,Errore hardware stampante,Erro de hardware,打印机错误,プリンター ハードウェアエラ,印表機錯誤,Ошибка принтера
STRID_HW_FATAL,Fatal Error,Erreur fatale,Schwerwiegender Fehler,Error grave,Errore irreversibile,Erro Fatal,严重打印机错误,致命的エラー,嚴重印表機錯誤,Среьезная ошибка принтера
STRID_HW_SERVICE_CALL,Service Call,Maintenance requise,Kundendienst anrufen,Llame al servicio técnico,Contattare assistenza tecnica,Chamada de serviço,请联络硬体厂商,カスタマーサービスに 連絡してください,請聯絡印表機廠商,Свяжитесь с центром по ремонту
STRID_HW_UNAVAILABLE,Printer Unavailable,Imprimante indisponible,Drucker ist nicht verfügbar,Impresora no disponible,Stampante non disponibile,Impressora não está disponível,找不到打印机,プリンターを使用できません,找不到印表機,Принтер не доступен
STRID_HW_BUSY,Printer is Busy,Imprimante occupée,Drucker ist ausgelastet,Impresora ocupada,Stampante in uso,A impressora está ocupada,打印机忙碌中,プリンタービジー,印表機忙碌中,Принтер занят
STRID_HW_LEVER,Lever Error,Erreur de levier,Hebelfehler,Error de la palanca,Errore leva,Alavanca de erro,打印机错误,レバーエラー,印表機錯誤,Ошибка принтера
STRID_HW_COVER_OPEN,Cover is Open,Position Défectueuse,Abdeckungoffen,Cubierta abierta,Posizione livello non corretta,Nível posição não correcto,封盖未闭合,カバーが開    いています,印表機上蓋未關閉,Открыта крышка
STRID_HW_NO_MARKING_AGENT,No Marking Agent,Aucun agent de marquage,Kein Kennzeichnungsmittel vorhanden,No hay agente de marca,Nessun agente di marcatura,Brak czynnika znakującego,打印机错误,印刷エラー,印表機錯誤,Ошибка принтера
STRID_HW_INK_COVER_OPEN,Ink Cover is Open,de marquage,Tintenklappe offen,Cubierta para tinta abierta,Nessun agente di marcatura,Nenhum agente detectado,墨水盒盖未闭合,インクカバーが   開いています,墨水盒蓋未關閉,Крышка краски открыта
STRID_HW_NO_INK_CARTRIDGE,Ink Cartridge is not Set,Couvercle d'encre ouvert,Keine tintenpatrone,No hay cartucho de tinta,Coperchio inchiostro aperto,Tampa tinteiro aberta,墨粉盒未装载,インクカート    リッジなし,墨水盒未裝載,Картридж краски не установлен
STRID_FILE_ERROR,File Error,Erreur De Fichier,Dateifehler,Error De Archivo,Errore File,Erro de arquivo,文件错误,ファイルエラー,文件錯誤,Ошибка файла
STRID_FILE_PRINT_INFO,Print Info Error,Info Impr,Druckinfo,Inf. Impr.,Info Stmp,Info Print Error,打印信息错误,印刷エラー,列印資訊錯誤,Ошибка информации печати
STRID_FILE_DECODE_ERROR,File Decode Error,Erreur de décodage du fichier,Fehler bei der De-kodierung der Datei,Error de decodif. de archivo,Errore decodifica file,Print Error,档案解码错误,ファイルのデコードエラー,檔案解碼錯誤,Ошибка раскодирования файла
STRID_UNKNOW_ERROR,Unknow Error,Erreur impression,Druck fehler,Error de impresión,Stampa errore,Print Error,未知错误,不明なエラー,未知錯誤,Неизвестная ошибка
STRID_XML_SYNTAX_ERROR,XML Syntax Error,Erreur impression,Druck fehler,Error de impresión,Stampa errore,Print Error,XML语法错误,XML構文エラー,XML語法錯誤,Ошибка  XML
STRID_MOTION_DET,Motion Detection,Détection de mouvement,Bewegungserkennung,Detección de movimiento,Rilevatore di movimento,Detecção de Movimento,移动侦测,動体検知,移動偵測,Датчик движения
STRID_FACE_DET,Face Detection,Détection de visage,Gesichtserkennung,Detección de la cara,VoltoRilevamento,Detecção de Rosto,人脸识别,顔検出,人臉偵測,Распознавание лица
STRID_SMILE_DET,Smile Detection,Détection de Smiley ,Smile-Erkennung,Detección de sonrisas,Sorriso di rilevamento,Detecção de sorriso,笑脸识别,笑顔檢測,笑臉偵測,Распознавание улыбки
STRID_ANTI_SHAKING,Anti-Shaking,Stabilisation,Stabilisierung,Estabilización,Stabilizzazione,Anti-Vibração,防手震,手ぶれ補正,防手震,Стабилизация
STRID_NO_MOVIE,No Movie,Aucun Film,Nr. Movie,Ninguna película,Nessuna Movie ,No Filme,没有录影文件,ビデオのファイルがない,沒有錄影文件,Нет видео
STRID_MP3PLAY,MP3,MP3,MP3,MP3,MP3,MP3,MP3,MP3,MP3,MP3
STRID_NO_MP3FILE,No MP3 File,Aucun fichier MP3,Kein MP3-Datei,N de archivos MP3,Nessun file MP3,Nenhum arquivo MP3,没有MP3文件,MP3のファイルがない,沒有MP3檔案,Нет МР3 файла
STRID_SENSOR_ROTATE,Image rotation,Rotation de l'image ,Bilddrehung ,Rotación de imagen ,Rotazione immagine ,Rotação de imagem ,影像旋转,画像回転,影像旋轉,Поворот изображения
STRID_RECORD,Video Record,Disque de vidéo,Videoaufzeichnung,Expediente del vídeo,Registrazione televisiva,Registro do vídeo,录影,録画,錄影,Показатель видео
STRID_RECORD_AUDIO,Record Audio,Acoustique record,Rekordaudio,Audio de registro,Audio record,Áudio gravado,录音,録音,錄音,Рекордное аудио
STRID_LED_SETTING,Lamp setting,Arrangement de lampe,Het plaatsen van de lamp,Ajuste de la lámpara,Regolazione della lampada,Ajuste da lâmpada,夜视灯设置,ランプの設定,夜视燈設置,Установка светильника
STRID_GOOD_BYE,Goodbye,AU REVOIR,Wiedersehen,ADIÓS,arriverderci,Até logo,再见,さようなら,再見,до свидания
STRID_PLEASE_INSERT_SD,PLEASE INSERT TF CARD,S'IL VOUS PLAÎT INSERT TF CARD,SETZEN SIE BITTE TF-KARTE EIN,Inserte tarjeta TF,SI PREGA DI INSERIRE SCHEDA TF,INTRODUZA POR FAVOR O CARTÃO DO TF,请插入TF卡,TFカードを挿入\nしてください,請插入記憶卡,"Пожалуйста, вставьте TF-КАРТЫ"
STRID_IR_LED,IR LED,IR LED,IR LED,IR LED,IR LED,IR LED,IR LED,IR LED,IR LED,IR LED
STRID_Microphone,Microphone,microphone,Mikrofon,micrófono,microfono,microfone,microfone,マイクロフォン,microfone,микрофон
STRID_CLUSTER_WRONG,Custer size wrong.\nPlease format,Custer size wrong.\nPlease format,Custer size wrong.\nPlease format,Custer size wrong.\nPlease format,Custer size wrong.\nPlease format,Custer size wrong.\nPlease format,格式错误.\n请格式化,フォーマットエラーで\nフォーマットしてください,記憶卡格式錯誤.\n請格式化,Custer size wrong.\nPlease format
STRID_SD_CLASS10,"TF card write speed too slow,please replace a higher speed card.","TF card write speed too slow,please replace a higher speed card.","TF card write speed too slow,please replace a higher speed card.","TF card write speed too slow,please replace a higher speed card.","TF card write speed too slow,please replace a higher speed card.","TF card write speed too slow,please replace a higher speed card.",卡速过低，\n请更换高速卡,カードの速度が低すぎると、高速なカードを交換してください,卡速過低，\n請更換高速卡,"TF card write speed too slow,please replace a higher speed card."
STRID_SD_CLASS6,Need Class6 or Higher TF Card,Need Class6 or Higher TF Card,Need Class6 or Higher TF Card,Need Class6 or Higher TF Card,Need Class6 or Higher TF Card,Need Class6 or Higher TF Card,Need Class6 or Higher TF Card,クラス6以上のカードが必要です,需要 Class6 以上 TF 卡,Need Class6 or Higher TF Card
STRID_SD_CLASS4,Need Class4 or Higher TF Card,Need Class4 or Higher TF Card,Need Class4 or Higher TF Card,Need Class4 or Higher TF Card,Need Class4 or Higher TF Card,Need Class4 or Higher TF Card,Need Class4 or Higher TF Card,クラス4以上のカードが必要です,需要 Class6 以上 TF 卡,Need Class4 or Higher TF Card
STRID_HDR,HDR,HDR,HDR,HDR,HDR,HDR,HDR,HDR,HDR,HDR
STRID_GPS,GPS,GPS,GPS,GPS,GPS,GPS,GPS,GPS,GPS,GPS
STRID_GSENSOR,G-Sensor,G-Sensor,G-Sensor,G-Sensor,G-Sensor,G-Sensor,碰撞灵敏度,衝撃感度,碰撞靈敏度,G-Sensor
STRID_SCREEN_SAVER,Screen Saver,Sauvegarde d'écran,Bildschirmschoner,Screen Saver,Salvaschermo,Screen Saver,屏幕保护,スクリーンセーバー,螢幕保護,хранитель экрана
STRID_LOW_SENSITIVITY,Low Sensitivity,Low Sensitivity,Low Sensitivity,Low Sensitivity,Low Sensitivity,Low Sensitivity,低灵敏度,低感度,低靈敏度,Low Sensitivity
STRID_MIDDLE_SENSITIVITY,Middle Sensitivity,Middle Sensitivity,Middle Sensitivity,Middle Sensitivity,Middle Sensitivity,Middle Sensitivity,中灵敏度,中感度,中靈敏度,Middle Sensitivity
STRID_HIGH_SENSITIVITY,High Sensitivity,High Sensitivity,High Sensitivity,High Sensitivity,High Sensitivity,High Sensitivity,高灵敏度,高感度,高靈敏度,High Sensitivity
STRID_CARNO,CarNo,CarNo,CarNo,CarNo,CarNo,CarNo,车牌号,ナンバープレート,車牌號,CarNo
STRID_CAMERA_MODE,Camera Mode,Camera Mode,Camera Mode,Camera Mode,Camera Mode,Camera Mode,监控模式,監視モード,監控模式,Camera Mode
STRID_COLOCK_1MIN,Colock  1Min,Colock  1Min,Colock  1Min,Colock  1Min,Colock  1Min,Colock  1Min,时钟-1,時計ー１分,時鐘-1,Colock  1Min
